	__10cData_FontPCcb	cData_Font::cData_Font(const char *, bool)
	__10cMsgSenderPc	cMsgSender::cMsgSender(char *)
	__10cSemaphoreUlb	cSemaphore::cSemaphore(unsigned long, bool)
	__10cVOAButtonRC10cRectangleR5cFontPCc23eVOAButtonTextAlignmentbN25UsP8cVObject	cVOAButton::cVOAButton(const cRectangle &, cFont &, const char *, eVOAButtonTextAlignment, bool, bool, bool, unsigned short, cVObject *)
	__10cVOAButtonRCt6tPoint1ZlR7cBitmapT2bN24UsP8cVObject	cVOAButton::cVOAButton(const tPoint<long> &, cBitmap &, cBitmap &, bool, bool, bool, unsigned short, cVObject *)
	__10cVOAButtonRCt6tPoint1ZlR7cBitmapT2R5cFontPCc23eVOAButtonTextAlignmentT1bN28UsP8cVObject	cVOAButton::cVOAButton(const tPoint<long> &, cBitmap &, cBitmap &, cFont &, const char *, eVOAButtonTextAlignment, const tPoint<long> &, bool, bool, bool, unsigned short, cVObject *)
	__10cVOConsolei	cVOConsole::cVOConsole(int)
	__10cVOListReqRCt6tPoint1ZlUlR7cBitmapT3R5cFontPPCc	cVOListReq::cVOListReq(const tPoint<long> &, unsigned long, cBitmap &, cBitmap &, cFont &, const char **)
	__11cAnimBitmap	cAnimBitmap::cAnimBitmap()
	__12cData_BitmapPCcb	cData_Bitmap::cData_Bitmap(const char *, bool)
	__12cData_SamplePCc	cData_Sample::cData_Sample(const char *)
	__12cKeySequence	cKeySequence::cKeySequence()
	__12cLocaleEntryPCc	cLocaleEntry::cLocaleEntry(const char *)
	__13cAnimSkeletonPCcUl	cAnimSkeleton::cAnimSkeleton(const char *, unsigned long)
	__13cData_PalettePCc	cData_Palette::cData_Palette(const char *)
	__14cSprABitmapAddR11cAnimBitmapT1	cSprABitmapAdd::cSprABitmapAdd(cAnimBitmap &, cAnimBitmap &)
	__16cData_AnimBitmapPCcb	cData_AnimBitmap::cData_AnimBitmap(const char *, bool)
	__6cShellPCc	cShell::cShell(const char *)
	__7cBitmapRC10cDimension7eBMType	cBitmap::cBitmap(const cDimension &, eBMType)
	__7cBitmapRC7cBitmap	cBitmap::cBitmap(const cBitmap &)
	__7cDirentPCc	cDirent::cDirent(const char *)
	__7cStringPCc	cString::cString(const char *)
	__7cThread	cThread::cThread()
	__ami__8cDayTimeT0	cDayTime::operator-=(cDayTime)
	__apl__12cKeySequence8eKeyCode	cKeySequence::operator+=(eKeyCode)
	__as__10cVOEditRowPCc	cVOEditRow::operator=(const char *)
	__builtin_vec_delete	__builtin_vec_delete
	__libc_init_first	__libc_init_first
	__mi__8cDayTimeT0	cDayTime::operator-(cDayTime)
	__opPc__7cString	cString::operator char *()
	__pl__8cDayTimeT0	cDayTime::operator+(cDayTime)
	__strtod_internal	__strtod_internal
	__strtol_internal	__strtol_internal
	__tf10cVOAButton	cVOAButton type_info function
	__tf10cVOConsole	cVOConsole type_info function
	__tf12cData_Bitmap	cData_Bitmap type_info function
	__tf12cLocaleEntry	cLocaleEntry type_info function
	__tf12cMsgReceiver	cMsgReceiver type_info function
	__tf12cSoundNotify	cSoundNotify type_info function
	__tf13cAnimSkeleton	cAnimSkeleton type_info function
	__tf5cNode	cNode type_info function
	__tf6cHNode	cHNode type_info function
	__tf6cShell	cShell type_info function
	__tf7cDirent	cDirent type_info function
	__tf7cThread	cThread type_info function
	__tf8cPalette	cPalette type_info function
	__tf8cVObject	cVObject type_info function
	__tf9cMemBlock	cMemBlock type_info function
	__tf9cVOBitmap	cVOBitmap type_info function
	__write	__write
	_._10cData_Font	cData_Font::~cData_Font()
	_._10cSemaphore	cSemaphore::~cSemaphore()
	_._10cVOAButton	cVOAButton::~cVOAButton()
	_._10cVOConsole	cVOConsole::~cVOConsole()
	_._10cVOListReq	cVOListReq::~cVOListReq()
	_._11cAnimBitmap	cAnimBitmap::~cAnimBitmap()
	_._12cMsgReceiver	cMsgReceiver::~cMsgReceiver()
	_._13cAnimSkeleton	cAnimSkeleton::~cAnimSkeleton()
	_._13cData_MapItem	cData_MapItem::~cData_MapItem()
	_._6cShell	cShell::~cShell()
	_._7cScreen	cScreen::~cScreen()
	_._7cString	cString::~cString()
	_._7cThread	cThread::~cThread()
	_exit	_exit
	_mcleanup	_mcleanup
	_Validate__10cMemBlock_	cMemBlock_::_Validate()
	_Validate__12cData_Bitmap	cData_Bitmap::_Validate()
	_Validate__13cAnimSkeleton	cAnimSkeleton::_Validate()
	_Validate__8cPalette	cPalette::_Validate()
	abort	abort
	ActivateScreen__10cIntuitionP7cScreen	cIntuition::ActivateScreen(cScreen *)
	Alloc__9cMemBlockUl	cMemBlock::Alloc(unsigned long)
	atexit	atexit
	BeginRefresh__7cScreen	cScreen::BeginRefresh()
