00059090	__5cFont	cFont::cFont()
000c6d30	__ti10cConsoleVO	cConsoleVO type_info node
00085590	AddFirstType__10cMsgCenterP12cMsgTypeNode	cMsgCenter::AddFirstType(cMsgTypeNode *)
00082490	VM_GetSoundCard__Fv	VM_GetSoundCard()
00092350	Cleanup__11cLinuxTimer	cLinuxTimer::Cleanup()
000aee76	_12cApplication.Timer	_12cApplication.Timer
000adba0	__vt_7cThread	cThread virtual table
000c7400	__ti7cThread	cThread type_info node
0004c250	GetType__7cDirent	cDirent::GetType()
000a896c	__vt_7cString.10cMemBlock_	cString virtual table (base cMemBlock_)
0005f130	GetPrev__C6cHNode	cHNode::GetPrev() const
000af080	__vt_7cStream	cStream virtual table
0008af20	__3cGDG3PTRRC10cDimensionUl	cGD::cGD(PTR, const cDimension &, unsigned long)
000920f0	Print_Dec__Fl	Print_Dec(long)
0007ee70	GetPalette16__12cPaletteFull	cPaletteFull::GetPalette16()
00096fa0	__tf9cFFHidden	cFFHidden type_info function
0007e970	Brightness__8cPaletteUl	cPalette::Brightness(unsigned long)
0005e490	LFB32_PutBitmap8	LFB32_PutBitmap8
000a8480	__vt_13cSoundChannel	cSoundChannel virtual table
0008c530	Paint__9cSprClickR3cGDGt6tPoint1Zl	cSprClick::Paint(cGD &, tPoint<long>)
00044c70	Key__10cConsoleVO8eKeyCodei	cConsoleVO::Key(eKeyCode, int)
00097660	Notify__10cVOSliderVRC10sVOMessage	cVOSliderV::Notify(const sVOMessage &)
000aae40	__vt_9cMasterVO	cMasterVO virtual table
00054cf0	Read__5cFilePvUl	cFile::Read(void *, unsigned long)
00084ba0	GetCString__10cOldString	cOldString::GetCString()
00082e30	__tf19cSoundServerChannel	cSoundServerChannel type_info function
000971f0	__tft5tNode1Z12cLocaleEntry	tNode<cLocaleEntry> type_info function
000c70ec	__ti11cIPCBrowser	cIPCBrowser type_info node
0005f440	UnLink__5cNode	cNode::UnLink()
00096120	GetWorkingDirectory__Fv	GetWorkingDirectory()
00064660	PutAnimBitmapAdd_I__9cGD_LFB15R11cAnimBitmapUlRC10cRectangleRCt6tPoint1ZlP12cPaletteFull	cGD_LFB15::PutAnimBitmapAdd_I(cAnimBitmap &, unsigned long, const cRectangle &, const tPoint<long> &, cPaletteFull *)
000857a0	__12cMsgReceiver	cMsgReceiver::cMsgReceiver()
0008b0b0	SetEmulationMode__13cVModeRequest9eVModeEmu	cVModeRequest::SetEmulationMode(eVModeEmu)
0005e190	LFB32_VLineAdd	LFB32_VLineAdd
00047900	SetHotkey__10cVOAButton8eKeyCodeUc	cVOAButton::SetHotkey(eKeyCode, unsigned char)
000575f0	_._10cData_Font	cData_Font::~cData_Font()
000826e0	__tf16cSoundCard_Dummy	cSoundCard_Dummy type_info function
00058720	PutText__FR3cGDR5cFontPCcGt6tPoint1ZlRC10cRectangleP12cPaletteFull	PutText(cGD &, cFont &, const char *, tPoint<long>, const cRectangle &, cPaletteFull *)
000934f0	SetBlockMode__11cIPCO_TCPIPb	cIPCO_TCPIP::SetBlockMode(bool)
000921f0	__tf8Log_File	Log_File type_info function
0005c6c0	LFB16_Fill	LFB16_Fill
000811f0	GetMasterVolume__16cSoundCard_Dummy	cSoundCard_Dummy::GetMasterVolume()
000908e0	GetFormat__Q25sWave7sFormat	sWave::sFormat::GetFormat()
0005b770	CheckAll__19cHeap_Compatibility	cHeap_Compatibility::CheckAll()
00080160	GetR__C6cColor	cColor::GetR() const
000876f0	VM_GetVVC__Fv	VM_GetVVC()
0004a720	Alloc__13cAnimSkeletonUl	cAnimSkeleton::Alloc(unsigned long)
00043670	Edit__10cVOConsole	cVOConsole::Edit()
