addr	size	symbol
0x08598080	0x1	_12cApplication.Timer
0x08598088	0xc	__ti7cThread
0x08598098	0x20	__vt_9cMasterVO
0x085980b8	0xc	__vt_12cLocaleEntry
0x085980c8	0xc	__vt_8cPalette
0x085980d8	0x10	__ti8cVObject
0x085980e8	0x50	_IO_stdout_
0x08598138	0x200	Palette16
0x08598338	0x4	IPCSystem
0x08598340	0xc	__vt_12cData_Bitmap
0x08598350	0xc	__vt_9cMemBlock
0x08598360	0xc	__vt_7cSample.10cMemBlock_
0x08598370	0x18	EnvSystem
0x08598388	0x8	__ti5cNode
0x08598390	0x14	__vt_8cEditRow
0x085983a8	0xc	__vt_12cData_Bitmap.10cMemBlock_
0x085983b8	0x10	__ti10cVOAButton
0x085983c8	0x4	Intuition_Mode
0x085983cc	0x1	_12cApplication.Sound
0x085983d0	0x10	__ti13cAnimSkeleton
0x085983e0	0x4	__environ
0x085983e8	0xc	__vt_5cNode
0x085983f8	0xc	__vt_19cSoundServerChannel
0x08598404	0x4	SystemMemory
0x08598408	0x28	__vt_10cVOEditRow
0x08598430	0xc	__vt_12cMsgReceiver
0x08598440	0x14	__vt_10cVOEditRow.8cEditRow
0x08598454	0x4	Intuition
0x08598458	0x8	__ti12cMsgReceiver
0x08598460	0xc	__vt_11cAnimBitmap
0x08598470	0xc	__vt_10cMemBlock_
0x0859847c	0x1	_12cApplication.Keyboard
0x08598480	0xc	__ti6cHNode
0x0859848c	0x1	RunInBackground
0x0859848d	0x1	_12cApplication.Network
0x08598490	0xc	__vt_16cData_AnimBitmap
0x0859849c	0x1	_12cApplication.Pointer
0x085984a0	0xc	__ti7cDirent
0x085984ac	0x4	VCD
0x085984b0	0x10	__ti9cMemBlock
0x085984c0	0xc	__vt_12cData_Sample
0x085984d0	0x200	Palette15
0x085986d0	0xc	__vt_7cSample
0x085986dc	0x1	_12cApplication.Intuition
0x085986e0	0xc	__vt_13cData_Palette
0x085986ec	0x1	_12cApplication.Video
0x085986f0	0x28	BlankScreen
0x08598718	0x8	RandomServer
0x08598720	0xc	__vt_13cData_Palette.10cMemBlock_
0x08598730	0xc	__vt_13cData_MapItem
0x08598740	0x8	__ti12cSoundNotify
0x08598748	0xc	__vt_8cPalette.10cMemBlock_
0x08598758	0x400	Palette24
0x08598b58	0x4	VKeyboard
0x08598b60	0x20	__vt_9cVOBitmap
0x08598b80	0x10	__ti8cPalette
0x08598b90	0x1	_12cApplication.Mouse
0x08598b98	0xc	__ti12cLocaleEntry
0x08598ba8	0x2c	__vt_5cFile
0x08598bd8	0xc	__vt_11cAnimBitmap.10cMemBlock_
0x08598be8	0x7	Sample_Size
0x08598bf0	0x2c	__vt_9cTextFile
0x08598c20	0xc	__vt_12cData_Sample.10cMemBlock_
0x08598c30	0xc	__vt_6cHNode
0x08598c3c	0x4	VMouse
0x08598c40	0xc	__ti10cVOConsole
0x08598c4c	0x4	LocaleDataBase
0x08598c50	0x10	__ti9cVOBitmap
0x08598c60	0x1	_12cApplication.Redbook
0x08598c68	0x20	__vt_8cVObject
0x08598c88	0x8	__ti6cShell
0x08598c90	0x20	__vt_9cSprClick
0x08598cb0	0x10	__ti12cData_Bitmap
0x08598cc0	0x2c	__vt_5cTask
0x08598cec	0x4	VVC
0x08598cf0	0xc	__vt_16cData_AnimBitmap.10cMemBlock_
0x08598d00	0xc	__vt_13cData_MapItem.10cMemBlock_
0x08598d0c	0x4	SoundCard
0x08598d10	0xc	__vt_9cMemBlock.10cMemBlock_
